achievementCount,attemptCount,chatRoom,codinGamer,communityCreation,contributor,coverBinaryId,creationTime,description,detailsPageUrl,doneAchievementCount,feedback,forumLink,globalTotal,id,lastActivity,league,level,logoBinaryId,mode,openChallenge,optimCriteria,optimCriteriaId,optimPoints,position,prettyId,previewBinaryId,puzzleLeaderboardId,rank,replayIds,score,solvedCount,testSessionHandle,thumbnailBinaryId,title,topics,total,type,validatorScore,xpPoints
0,185,,,True,"{'userId': 805067, 'pseudo': 'Magus', 'publicHandle': '1724dffd64c8c26c9fa9a189691387b5760508', 'enable': False, 'avatar': 24623991925371, 'cover': 3038050714514}",,1493914231870,,/training/hard/code-your-own-automaton2000-step-1,0,"{'feedbackId': 607, 'feedbacks': [0, 4, 1, 10, 17]}",,,320,,,hard,,,,,,,,code-your-own-automaton2000-step-1,,,0,,,121,,,"Code your own Automaton2000, step 1",[],,CODE,0,50.0
0,242,,,True,"{'userId': 969316, 'pseudo': 'masterglob', 'publicHandle': '31da02a904ce9a29d5587b8f7ad76c70613969', 'enable': False, 'avatar': 5246485288293}",,1494109827932,,/training/expert/cubax-folding,0,"{'feedbackId': 612, 'feedbacks': [0, 1, 2, 0, 11]}",,,321,,,expert,,,,,,,,cubax-folding,,,0,,,65,7760129ec5c1799c0cd21082cd18e7880728618,,Cubax Folding,[],,CODE,0,50.0
0,1954,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 878974, 'pseudo': 'nicola', 'publicHandle': '21bf42f790de293c3aef398f18cd2627479878', 'enable': False, 'avatar': 26090852120005, 'cover': 1735058494121}",,1494148257866,,/training/medium/hidden-word,0,"{'feedbackId': 613, 'codingamerFeedback': 5, 'feedbacks': [4, 9, 21, 71, 113]}",,,322,1518112228026.0,,medium,,,,,,,,hidden-word,,,0,,,853,10132961a888d581a385dc69f6a0bf1605b2b1f1,,Hidden word,"[{'handle': 'algorithms', 'value': 'Algorithmes', 'children': [{'handle': 'strings', 'value': 'Chaînes de caractères', 'children': []}]}, {'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': [{'handle': 'conditions', 'value': 'Conditions', 'children': []}]}]",,CODE,100,50.0
0,501,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 1306541, 'pseudo': 'Steuh', 'publicHandle': '96e62e1385aa7bcfd1c0449d1a7fbcc81456031', 'enable': False, 'avatar': 15808915160175, 'cover': 4579314798542}",,1494400311208,,/training/expert/the-two-piles-difference,0,"{'feedbackId': 625, 'feedbacks': [0, 3, 6, 17, 34]}",,,323,1496655833007.0,,expert,,,,,,,,the-two-piles-difference,,,0,,,178,7765340c9dd5e06aee0e344c5d9b59a98c3292d,,The two piles difference,[],,CODE,100,50.0
0,4259,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",False,,12791132571341.0,1495628112675,,/multiplayer/bot-programming/coders-of-the-caribbean,0,"{'feedbackId': 660, 'feedbacks': [2, 1, 12, 27, 118]}",coders-of-the-caribbean-puzzle-discussion/2843,2513.0,324,1566553821762.0,"{'divisionIndex': 2, 'divisionCount': 7, 'openingLeaguesCount': 0, 'divisionOffset': 0}",multi,13026558795517.0,,,,rank,,203.0,coders-of-the-caribbean,12791116676768.0,coders-of-the-caribbean,0,"[212959313, 212756904, 212958704]",10.2,0,1018081181968459669d2927a50b6581891af90c,13605636176846.0,Coders of the Caribbean,"[{'handle': 'maths-physics', 'value': 'Maths / Physique', 'children': [{'handle': 'distance', 'value': 'Distances', 'children': []}]}, {'handle': 'algorithms', 'value': 'Algorithmes', 'children': [{'handle': 'pathfinding', 'value': 'Recherche de chemins', 'children': []}]}, {'handle': 'artificial-intelligence', 'value': 'Intelligence Artificielle', 'children': [{'handle': 'multi-agent', 'value': 'Multi-agent', 'children': []}]}, {'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': []}]",414.0,ARENA,0,
0,1292,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945}",,1496046447015,,/training/hard/longest-palindrome,0,"{'feedbackId': 672, 'feedbacks': [0, 2, 18, 42, 74]}",,,325,1509214158232.0,,hard,,,,,,,,longest-palindrome,,,0,,,499,7727937e5f4fae894e568cb7c037da987741b18,,Longest Palindrome,"[{'handle': 'uncategorized', 'value': 'Sans catégorie', 'children': [{'handle': 'palindrome', 'value': 'Palindrome', 'children': []}]}, {'handle': 'algorithms', 'value': 'Algorithmes', 'children': [{'handle': 'strings', 'value': 'Chaînes de caractères', 'children': []}]}]",,CODE,100,50.0
0,1263,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 2003902, 'pseudo': 'mploux', 'publicHandle': '0914855c3671cbd73294fcc960595cd92093002', 'enable': False, 'avatar': 26018673651780, 'cover': 16372034826405}",,1496868868674,,/training/medium/bruce-lee,0,"{'feedbackId': 703, 'codingamerFeedback': 4, 'feedbacks': [5, 1, 22, 91, 115]}",,,326,1497123968003.0,,medium,,,,,,,,bruce-lee,,,0,,,976,7816306a3d3df82e169625ad227e33e3f7f8c35,,Bruce Lee,"[{'handle': 'algorithms', 'value': 'Algorithmes', 'children': [{'handle': 'encoding', 'value': 'Encodage', 'children': []}]}]",,CODE,100,50.0
0,128,,,True,"{'userId': 484004, 'pseudo': 'aCat', 'publicHandle': 'b528dd3b279d7578674a1129305918e0400484', 'enable': False, 'avatar': 4210501575817, 'cover': 4256317302946}",,1499367960594,,/training/hard/parsing-context-free-grammar,0,"{'feedbackId': 1417, 'feedbacks': [0, 0, 2, 5, 12]}",,,327,,,hard,,,,,,,,parsing-context-free-grammar,,,0,,,76,,,Parsing context-free grammar,[],,CODE,0,50.0
0,361,,,True,"{'userId': 792813, 'pseudo': 'VilBoub', 'publicHandle': 'bd6706892e49290fb119aa5ddae4238a318297', 'enable': False, 'avatar': 1756328969262, 'cover': 1869151336464}",,1499439741532,,/training/expert/hitori-solver,0,"{'feedbackId': 1445, 'feedbacks': [1, 0, 0, 10, 16]}",,,328,,,expert,,,,,,,,hitori-solver,,,0,,,85,8025359bc5e3b28778bdcf19d814df82939093a,,Hitori solver,[],,CODE,0,50.0
0,2746,wondev-woman,,False,,21916572828844.0,1499847630417,,/multiplayer/bot-programming/wondev-woman,0,"{'feedbackId': 1557, 'feedbacks': [1, 2, 5, 23, 71]}",wondev-woman-puzzle-discussion/2987,1400.0,329,,,multi,23495594548095.0,,,,rank,,,wondev-woman,13495065201583.0,wondev-woman,0,"[243368809, 243276174, 243295639]",,0,,13605622139888.0,Wondev Woman,"[{'handle': 'algorithms', 'value': 'Algorithmes', 'children': [{'handle': 'flood-fill', 'value': 'Remplissage par diffusion', 'children': []}]}, {'handle': 'maths-physics', 'value': 'Maths / Physique', 'children': []}, {'handle': 'artificial-intelligence', 'value': 'Intelligence Artificielle', 'children': [{'handle': 'minimax', 'value': 'Minimax', 'children': []}, {'handle': 'simulation', 'value': 'Simulation', 'children': []}]}, {'handle': 'programming-fundamentals', 'value': 'Fondamentaux de Programmation', 'children': []}]",1400.0,ARENA,0,
0,239,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 1993972, 'pseudo': 'Stashio', 'publicHandle': 'd2afbce22cc60b617c3493e325b1320e2793991', 'enable': False, 'avatar': 12644338518586}",,1500974489795,,/training/hard/order-of-oopserations,0,"{'feedbackId': 1558, 'feedbacks': [1, 1, 4, 20, 23]}",,,330,1501174678732.0,,hard,,,,,,,,order-of-oopserations,,,0,,,168,81705385f113acbc29b62270c28b8b9eccb89f1,,Order of Oopserations!,[],,CODE,0,50.0
0,711,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 901546, 'pseudo': 'Vinatorul', 'publicHandle': 'a4fe497d39cc0875211d24e6fb39f8c3645109', 'enable': False, 'avatar': 13640687952038, 'cover': 13787100050992}",,1504377046774,,/training/medium/numeral-system,0,"{'feedbackId': 1559, 'feedbacks': [2, 3, 20, 45, 63]}",,,331,1525163926108.0,,medium,,,,,,,,numeral-system,,,0,,,479,847082075db3d13d91c7ad5ab1105412c9ffa7d,,Numeral system,[],,CODE,100,50.0
0,304,,"{'userId': 270881, 'pseudo': 'Maurice_Moss', 'publicHandle': 'de015f1a510d60cdcd0551896a34c709188072', 'enable': False, 'avatar': 30069480173944, 'cover': 30075222090945, 'tagline': 'Have you tried turning it off and on again ?', 'level': 30}",True,"{'userId': 1488681, 'pseudo': 'Syneil', 'publicHandle': '5f8ac189ac553652ba78134663fd42351868841', 'enable': False, 'avatar': 5529883558499, 'cover': 5720695198457}",,1506283522803,,/training/medium/10101,0,"{'feedbackId': 1560, 'feedbacks': [2, 3, 9, 26, 18]}",,,332,1507046395046.0,,medium,,,,,,,,10101,,,0,,,256,87865616bde929aba4bfaa99ecd222b89be8754,,1010(1),[],,CODE,100,50.0
0,67,,,False,,14516018918064.0,1506438028302,"<i>NA NA NA NA NA BATMAN</i><br>
Une aventure de Batman comme on les aime : le Joker, des bombes, des otages, un compte à rebours, et un héros. Le héros, c'est vous. A vous de retrouver et désamorcer les bombes avant qu'elles n'explosent ! Alfred a tout prévu pour cela, et vous confie un détecteur de chaleur réglé sur la signature thermique des bombes du Joker. Facile ? On va voir.
<br>
<br>
<u>Algo</u> : Convergence.<br>
<br>
<i>Ce défi moyen est le premier d'une série de deux exercices proposés lors du challenge «&nbsp;Shadows of the Knight&nbsp;». Une fois résolu, pourquoi ne pas tenter de coder le niveau suivant, «&nbsp;Triangulation&nbsp;», sur le même thème mais avec une difficulté accrue.</i>",/training/medium/epsi-shadows-of-the-knight,0,"{'feedbackId': 1561, 'feedbacks': [0, 0, 0, 0, 2]}",,,333,,,medium,14516009285029.0,,epsi,,,,,epsi-shadows-of-the-knight,14515995288713.0,,3,"[69813431, 24931911, 69813433, 66154688, 58938871, 58940546, 58943177]",,10,,14515965825874.0,Les otages - EPSI,"[{'handle': 'maths-physics', 'value': 'Maths / Physique', 'children': [{'handle': 'intervals', 'value': 'Intervalles', 'children': []}]}, {'handle': 'algorithms', 'value': 'Algorithmes', 'children': [{'handle': 'binary-search', 'value': 'Recherche dichotomique', 'children': []}]}]",,SOLO,0,
